Correlation Table - 50 periods
https://www.mataf.net
Sun, 17 Sep 2023 03:22:32 +0000
pair1,pair2,5min,15min,1h,4h,day,week
EURUSD,USDJPY,-57.5,-49.3,-53.2,-44,-93.5,0
EURUSD,USDCHF,-96.2,-34.1,-88.5,-78.1,-97.7,0
GBPUSD,EURUSD,93,4.1,92.2,77.7,95.9,0
GBPUSD,GBPUSD,100,100,100,100,100,0
GBPUSD,NZDUSD,83.1,86.9,67.8,-23.5,90.3,0
GBPUSD,AUDUSD,75.7,83,-31.4,-48.6,87.2,0
GBPUSD,NZDCAD,77.4,68.2,93.3,57.3,89.9,0
GBPUSD,AUDCAD,78.1,61.8,11.7,15.2,84.1,0
GBPUSD,NZDCHF,7.5,56.1,-31.9,-67.9,73.8,0
GBPUSD,EURCHF,-23.8,-79.3,75.3,3.4,64.2,0
GBPUSD,AUDCHF,-44.5,51.8,-78.8,-72.9,64.7,0
GBPUSD,NZDJPY,85.4,77.4,3.6,-54.5,51.7,0
GBPUSD,EURCAD,76.5,-35,89.3,79.2,52.5,0
GBPUSD,EURGBP,-20.7,-91.6,14.2,-65.6,8.5,0
GBPUSD,GBPCHF,1.4,90.8,95,89.7,54.7,0
GBPUSD,AUDJPY,65.7,74.1,-64.4,-68.3,20.1,0
GBPUSD,GBPCAD,85.5,86.4,97.3,87.1,40.7,0
GBPUSD,CADCHF,-79.6,-48.8,-93.9,-76.3,-17.2,0
GBPUSD,AUDNZD,-61,28,-91,-64.8,-44,0
GBPUSD,EURJPY,90.9,-22.6,70.9,45.6,-54.1,0
GBPUSD,EURAUD,30.5,-69.3,81.9,74.8,-52.6,0
GBPUSD,GBPAUD,38.4,34.2,90.1,84.7,-49,0
GBPUSD,GBPJPY,88.2,96.7,84.6,75.3,-50.6,0
GBPUSD,EURNZD,-22.3,-74.4,66.4,70.8,-66.2,0
GBPUSD,GBPNZD,-1.6,57,81.7,84.6,-61.5,0
GBPUSD,CHFJPY,89.4,72.2,43.1,45.4,-70,0
GBPUSD,CADJPY,-11.7,23,-83.9,-64.3,-84.5,0
GBPUSD,USDCAD,-15.6,-45,63.5,55.8,-84,0
GBPUSD,USDJPY,-38.4,-38.9,-67.9,-32.1,-90.9,0
GBPUSD,USDCHF,-89.4,-86.9,-95.8,-93.7,-96.4,0
NZDUSD,EURUSD,91.1,-4.2,48.6,-1.1,93.3,0
NZDUSD,GBPUSD,83.1,86.9,67.8,-23.5,90.3,0
NZDUSD,NZDUSD,100,100,100,100,100,0
NZDUSD,AUDUSD,93.4,95.6,41.5,88.7,98.6,0
NZDUSD,NZDCAD,89.8,78.8,82.8,-3.9,96.4,0
NZDUSD,AUDCAD,93,71.5,58.7,36.4,94.1,0
NZDUSD,NZDCHF,41.6,81.4,43.2,84.9,94.3,0
NZDUSD,EURCHF,-38.8,-83.2,21.7,34.7,68.2,0
NZDUSD,AUDCHF,-19.3,71.4,-17,75.7,88.9,0
NZDUSD,NZDJPY,92.9,94.9,46.6,56,67.8,0
NZDUSD,EURCAD,70.3,-46.2,37.2,-53.2,22.9,0
NZDUSD,EURGBP,20.6,-82.8,-26.2,35.8,31.5,0
NZDUSD,GBPCHF,-38.7,71.2,55.1,-12.7,33.6,0
NZDUSD,AUDJPY,73,90.4,-14.4,56.6,39.2,0
NZDUSD,GBPCAD,64.9,68.1,51.9,-55.7,2.3,0
NZDUSD,CADCHF,-77.8,-38.8,-47.5,62.4,19.2,0
NZDUSD,AUDNZD,-66.3,33.6,-51.3,38.7,-36.4,0
NZDUSD,EURJPY,74.9,-23.5,18.8,-45.2,-74.6,0
NZDUSD,EURAUD,-0.4,-83.2,20.3,-66,-79.3,0
NZDUSD,GBPAUD,-11,-9.7,32.4,-67,-79.8,0
NZDUSD,GBPJPY,57.8,86,40.6,-56.5,-77.9,0
NZDUSD,EURNZD,-63.3,-89.3,-2.1,-71.7,-89.6,0
NZDUSD,GBPNZD,-56.1,9,13,-71.8,-89.4,0
NZDUSD,CHFJPY,80.1,76.1,8,-69.5,-88.9,0
NZDUSD,CADJPY,-19.6,34.8,-49.5,34.5,-82.8,0
NZDUSD,USDCAD,-24.9,-51.5,-4.5,-72.6,-96.1,0
NZDUSD,USDJPY,-62.2,-26.6,-69.3,-48.3,-97.5,0
NZDUSD,USDCHF,-91.9,-84.2,-73.7,28.5,-91.6,0
AUDUSD,EURUSD,80,-19.7,-46.5,-27.9,91.1,0
AUDUSD,GBPUSD,75.7,83,-31.4,-48.6,87.2,0
AUDUSD,NZDUSD,93.4,95.6,41.5,88.7,98.6,0
AUDUSD,AUDUSD,100,100,100,100,100,0
AUDUSD,NZDCAD,70.6,86.6,-7.6,-39.9,93.2,0
AUDUSD,AUDCAD,82.1,85.7,79.8,24,96.2,0
AUDUSD,NZDCHF,38.6,85.9,90.3,91,93.1,0
AUDUSD,EURCHF,-52.5,-84.9,-57,24.4,63.6,0
AUDUSD,AUDCHF,4.2,85.9,80.9,94.1,92.4,0
AUDUSD,NZDJPY,90.7,92.1,74.2,62,68,0
AUDUSD,EURCAD,46.2,-42.5,-56.8,-78.8,16.7,0
AUDUSD,EURGBP,11.9,-85.3,-49.2,43.6,34,0
AUDUSD,GBPCHF,-39.7,74.1,-36.8,-33.2,26.4,0
AUDUSD,AUDJPY,87.3,96.3,78.5,79.5,49,0
AUDUSD,GBPCAD,43.5,73.8,-47.6,-79.3,-4.4,0
AUDUSD,CADCHF,-57.9,-46,51.7,84.2,23.1,0
AUDUSD,AUDNZD,-35.3,59.8,56.8,76.9,-20.6,0
AUDUSD,EURJPY,67.9,-37.7,-46.9,-54,-74.4,0
AUDUSD,EURAUD,-28.3,-92.8,-74.5,-87.6,-84.9,0
AUDUSD,GBPAUD,-31.1,-23.9,-69.5,-87.6,-85.4,0
AUDUSD,GBPJPY,55.8,83.1,-31.9,-68.1,-78.7,0
AUDUSD,EURNZD,-69.4,-92.5,-77.2,-82.3,-89.7,0
AUDUSD,GBPNZD,-55.3,8.2,-75.1,-83.5,-90.2,0
AUDUSD,CHFJPY,78.8,67.1,-14.1,-72.1,-87.1,0
AUDUSD,CADJPY,8.2,20.8,51,58.7,-78.5,0
AUDUSD,USDCAD,-52.6,-33.7,-77.5,-89.5,-96.7,0
AUDUSD,USDJPY,-50.7,-21.6,14.1,-29.7,-95.8,0
AUDUSD,USDCHF,-85.6,-73.4,23.6,53.7,-90.3,0
NZDCAD,EURUSD,88,-18.6,83.5,44.3,90.2,0
NZDCAD,GBPUSD,77.4,68.2,93.3,57.3,89.9,0
NZDCAD,NZDUSD,89.8,78.8,82.8,-3.9,96.4,0
NZDCAD,AUDUSD,70.6,86.6,-7.6,-39.9,93.2,0
NZDCAD,NZDCAD,100,100,100,100,100,0
NZDCAD,AUDCAD,96.3,96.9,37.5,68.6,94.8,0
NZDCAD,NZDCHF,35.1,77.6,-5.9,-37,91.5,0
NZDCAD,EURCHF,-19.2,-67,63.9,-9.2,69.1,0
NZDCAD,AUDCHF,-43.5,81,-60.8,-54,83,0
NZDCAD,NZDJPY,78.2,74.1,20.6,-50.8,66.6,0
NZDCAD,EURCAD,90.4,-2.9,79.5,74,36.6,0
NZDCAD,EURGBP,27,-71,6.7,-38.1,22,0
NZDCAD,GBPCHF,-32.9,64.8,85.4,40.8,44.7,0
NZDCAD,AUDJPY,43.8,82.1,-49.5,-70.9,32.6,0
NZDCAD,GBPCAD,83.1,83.1,88.7,73.4,19.4,0
NZDCAD,CADCHF,-92.3,-75.2,-86.3,-75,4.2,0
NZDCAD,AUDNZD,-87.1,62.8,-82.1,-74.5,-45.4,0
NZDCAD,EURJPY,68.7,-38,59.1,-3,-70.1,0
NZDCAD,EURAUD,30.3,-81.1,65.9,51.6,-72.2,0
NZDCAD,GBPAUD,12.7,-27.6,74.1,55.8,-70.6,0
NZDCAD,GBPJPY,49.1,66.4,73.7,21.4,-70.2,0
NZDCAD,EURNZD,-44.9,-77.5,47.7,33.6,-85.7,0
NZDCAD,GBPNZD,-46.5,5.5,60.8,43.3,-83.1,0
NZDCAD,CHFJPY,67.7,46.3,33.8,2.3,-85.5,0
NZDCAD,CADJPY,-55.8,-22.9,-80.2,-86.9,-88.1,0
NZDCAD,USDCAD,20,12.2,52.2,71.6,-85.4,0
NZDCAD,USDJPY,-66.9,-24.5,-70.7,-49.8,-93.3,0
NZDCAD,USDCHF,-84,-55.3,-92.3,-62.2,-87.5,0
AUDCAD,EURUSD,87.6,-30.9,-0.4,7.4,86,0
AUDCAD,GBPUSD,78.1,61.8,11.7,15.2,84.1,0
AUDCAD,NZDUSD,93,71.5,58.7,36.4,94.1,0
AUDCAD,AUDUSD,82.1,85.7,79.8,24,96.2,0
AUDCAD,NZDCAD,96.3,96.9,37.5,68.6,94.8,0
AUDCAD,AUDCAD,100,100,100,100,100,0
AUDCAD,NZDCHF,35.8,76.9,65.1,14.7,89.4,0
AUDCAD,EURCHF,-32,-66.2,-11.1,-12.8,60.4,0
AUDCAD,AUDCHF,-30.1,88,45,9.7,90.3,0
AUDCAD,NZDJPY,83,68.6,80.3,-25.4,67.6,0
AUDCAD,EURCAD,82.5,-5.6,-6.4,19.5,25.7,0
AUDCAD,EURGBP,24.8,-70,-26.6,-15.7,26.4,0
AUDCAD,GBPCHF,-38.8,63.8,8.4,7.7,31.4,0
AUDCAD,AUDJPY,57.9,82.9,56.8,-18.5,52.2,0
AUDCAD,GBPCAD,76,80.2,2.2,21.2,7.7,0
AUDCAD,CADCHF,-88,-71.1,1.7,-22.9,10.7,0
AUDCAD,AUDNZD,-71.3,79.9,22.1,-2.7,-14.7,0
AUDCAD,EURJPY,68.8,-47.6,0.6,-53.9,-70.1,0
AUDCAD,EURAUD,11.6,-84.9,-31.7,-14,-83.5,0
AUDCAD,GBPAUD,-2.7,-37,-27.7,-6.2,-81.8,0
AUDCAD,GBPJPY,50.4,61.3,16.9,-31.3,-71.9,0
AUDCAD,EURNZD,-53.7,-76.7,-34.3,-20.7,-86.2,0
AUDCAD,GBPNZD,-51.4,4.9,-30.7,-9,-84.8,0
AUDCAD,CHFJPY,72.4,37.9,23.9,-48.7,-82.2,0
AUDCAD,CADJPY,-43.9,-26.7,13.7,-54.2,-80.6,0
AUDCAD,USDCAD,5.1,19.6,-23.8,21.8,-86,0
AUDCAD,USDJPY,-65.8,-18,1.9,-66.4,-90.2,0
AUDCAD,USDCHF,-87.1,-44.4,-13.6,-19.1,-85,0
NZDCHF,EURUSD,10.9,-43.1,-49.2,-44,77.9,0
NZDCHF,GBPUSD,7.5,56.1,-31.9,-67.9,73.8,0
NZDCHF,NZDUSD,41.6,81.4,43.2,84.9,94.3,0
NZDCHF,AUDUSD,38.6,85.9,90.3,91,93.1,0
NZDCHF,NZDCAD,35.1,77.6,-5.9,-37,91.5,0
NZDCHF,AUDCAD,35.8,76.9,65.1,14.7,89.4,0
NZDCHF,NZDCHF,100,100,100,100,100,0
NZDCHF,EURCHF,20.7,-69.5,-57.5,26,66.4,0
NZDCHF,AUDCHF,58.6,92.9,77.6,96,95.7,0
NZDCHF,NZDJPY,40,82.5,66.5,74.7,75.8,0
NZDCHF,EURCAD,2.2,-50.6,-58.9,-83.4,-0.2,0
NZDCHF,EURGBP,8.6,-69.8,-55.5,54.9,31.6,0
NZDCHF,GBPCHF,5.9,59.9,-31.8,-46.5,31.6,0
NZDCHF,AUDJPY,34.2,86.5,66.5,81.7,48,0
NZDCHF,GBPCAD,-1.7,49.5,-47.9,-86.9,-17.8,0
NZDCHF,CADCHF,2.3,-17.1,55.3,89.2,44.2,0
NZDCHF,AUDNZD,-27,54.3,46,64.2,-33.7,0
NZDCHF,EURJPY,2.5,-52.8,-54.9,-53.7,-79,0
NZDCHF,EURAUD,-44,-89.8,-72.7,-89.1,-87.9,0
NZDCHF,GBPAUD,-42.9,-47.2,-65.4,-92.8,-87.4,0
NZDCHF,GBPJPY,-2.2,58.7,-38.6,-74.8,-81.9,0
NZDCHF,EURNZD,-78.6,-90.6,-81.4,-90.8,-97,0
NZDCHF,GBPNZD,-66.4,-22.3,-77.1,-95.3,-96.1,0
NZDCHF,CHFJPY,-5.7,37.6,-35,-72.6,-92,0
NZDCHF,CADJPY,-1.3,18.8,44.4,64.3,-71.1,0
NZDCHF,USDCAD,-15,-23.2,-77.1,-84.7,-90,0
NZDCHF,USDJPY,-19.1,-5.3,5.6,-12.4,-88.2,0
NZDCHF,USDCHF,-3.1,-37.5,28.9,74.8,-73.2,0
EURCHF,EURUSD,-25.5,45.7,93.5,59.1,75.6,0
EURCHF,GBPUSD,-23.8,-79.3,75.3,3.4,64.2,0
EURCHF,NZDUSD,-38.8,-83.2,21.7,34.7,68.2,0
EURCHF,AUDUSD,-52.5,-84.9,-57,24.4,63.6,0
EURCHF,NZDCAD,-19.2,-67,63.9,-9.2,69.1,0
EURCHF,AUDCAD,-32,-66.2,-11.1,-12.8,60.4,0
EURCHF,NZDCHF,20.7,-69.5,-57.5,26,66.4,0
EURCHF,EURCHF,100,100,100,100,100,0
EURCHF,AUDCHF,8.3,-68.6,-77.9,19.3,56.4,0
EURCHF,NZDJPY,-34.5,-86.6,-5.4,14.7,60.3,0
EURCHF,EURCAD,-1.4,67.1,94.8,7.3,48.6,0
EURCHF,EURGBP,-8.4,92.2,72.1,65.6,54.8,0
EURCHF,GBPCHF,65.1,-72.8,77.7,12.4,39.9,0
EURCHF,AUDJPY,-44.1,-87.3,-56,10.6,27.1,0
EURCHF,GBPCAD,-0.3,-65.8,83,-16.4,11.7,0
EURCHF,CADCHF,26.7,32.3,-82,22.9,10.9,0
EURCHF,AUDNZD,-8.2,-45,-73.4,1,-45.3,0
EURCHF,EURJPY,-13.8,51.1,95.7,38.4,-21,0
EURCHF,EURAUD,40.3,89.8,92.9,11.7,-31.7,0
EURCHF,GBPAUD,40.4,4.9,83.1,-13.2,-45.4,0
EURCHF,GBPJPY,-10.6,-85.7,82.1,-11.3,-41.1,0
EURCHF,EURNZD,43.4,93.4,94.3,16.8,-46.3,0
EURCHF,GBPNZD,32.2,-21.8,84.7,-16.7,-58.3,0
EURCHF,CHFJPY,-46.7,-73.9,61.7,-23.7,-54.8,0
EURCHF,CADJPY,-14.3,-38.4,-61.4,14.1,-51.6,0
EURCHF,USDCAD,44.1,40.7,80.6,-30.5,-62.4,0
EURCHF,USDJPY,29.9,-2.1,-25.9,-20.9,-62.3,0
EURCHF,USDCHF,50.8,68,-66.2,4.1,-60.1,0
AUDCHF,EURUSD,-50.2,-53.4,-84.4,-51.6,70.4,0
AUDCHF,GBPUSD,-44.5,51.8,-78.8,-72.9,64.7,0
AUDCHF,NZDUSD,-19.3,71.4,-17,75.7,88.9,0
AUDCHF,AUDUSD,4.2,85.9,80.9,94.1,92.4,0
AUDCHF,NZDCAD,-43.5,81,-60.8,-54,83,0
AUDCHF,AUDCAD,-30.1,88,45,9.7,90.3,0
AUDCHF,NZDCHF,58.6,92.9,77.6,96,95.7,0
AUDCHF,EURCHF,8.3,-68.6,-77.9,19.3,56.4,0
AUDCHF,AUDCHF,100,100,100,100,100,0
AUDCHF,NZDJPY,-11,73.3,49.9,71.1,75,0
AUDCHF,EURCAD,-72.6,-40.7,-88.4,-91.1,-13.2,0
AUDCHF,EURGBP,-13.2,-69.9,-41.2,53.7,35.1,0
AUDCHF,GBPCHF,16,60.9,-74,-51.6,18.1,0
AUDCHF,AUDJPY,22.6,87.3,91.9,88.7,64.7,0
AUDCHF,GBPCAD,-70.1,56.5,-86.6,-92.7,-30.9,0
AUDCHF,CADCHF,71.5,-29.2,90,94.7,52.3,0
AUDCHF,AUDNZD,60.4,81.1,91.7,83.1,-5,0
AUDCHF,EURJPY,-43.4,-62.2,-68,-55.4,-77.1,0
AUDCHF,EURAUD,-87.4,-93.6,-95.5,-95.2,-96.2,0
AUDCHF,GBPAUD,-70.1,-54.5,-96.7,-97.4,-95.7,0
AUDCHF,GBPJPY,-32.6,54.9,-64.4,-75.5,-81.5,0
AUDCHF,EURNZD,-49.5,-86.5,-86.8,-89.6,-95.3,0
AUDCHF,GBPNZD,-31.8,-14.2,-93.2,-93.8,-95.5,0
AUDCHF,CHFJPY,-41.9,29.3,-30,-70.2,-86.7,0
AUDCHF,CADJPY,57.6,1.3,86,72.1,-60.6,0
AUDCHF,USDCAD,-52.9,-2.5,-83.5,-90.1,-88,0
AUDCHF,USDJPY,30.5,-2,56.8,-6.2,-82.1,0
AUDCHF,USDCHF,47.8,-28.3,76.3,79.1,-67.1,0
NZDJPY,EURUSD,85.4,-20,-3.6,-43.3,55.5,0
NZDJPY,GBPUSD,85.4,77.4,3.6,-54.5,51.7,0
NZDJPY,NZDUSD,92.9,94.9,46.6,56,67.8,0
NZDJPY,AUDUSD,90.7,92.1,74.2,62,68,0
NZDJPY,NZDCAD,78.2,74.1,20.6,-50.8,66.6,0
NZDJPY,AUDCAD,83,68.6,80.3,-25.4,67.6,0
NZDJPY,NZDCHF,40,82.5,66.5,74.7,75.8,0
NZDJPY,EURCHF,-34.5,-86.6,-5.4,14.7,60.3,0
NZDJPY,AUDCHF,-11,73.3,49.9,71.1,75,0
NZDJPY,NZDJPY,100,100,100,100,100,0
NZDJPY,EURCAD,59.9,-56.2,-11.9,-75.2,0.6,0
NZDJPY,EURGBP,-1.1,-80.2,-17,34.7,25.8,0
NZDJPY,GBPCHF,-18.9,63.3,7.9,-31.1,32.7,0
NZDJPY,AUDJPY,88.3,95.6,71.3,89.9,80.1,0
NZDJPY,GBPCAD,62,58.5,-7.6,-73.3,-13.5,0
NZDJPY,CADCHF,-66.4,-30.3,16.7,77.8,39.4,0
NZDJPY,AUDNZD,-54.4,36.4,28,46.4,-17,0
NZDJPY,EURJPY,86.8,-19.5,13.1,0.1,-25.8,0
NZDJPY,EURAUD,-5.2,-86.2,-31.9,-67.3,-66.2,0
NZDJPY,GBPAUD,-3.5,-20.4,-31.2,-67.7,-66.2,0
NZDJPY,GBPJPY,76.9,84.6,27.4,-21.7,-32.9,0
NZDJPY,EURNZD,-58.4,-92,-30.9,-69.8,-70.1,0
NZDJPY,GBPNZD,-40.5,-1.8,-31.9,-69.8,-70.1,0
NZDJPY,CHFJPY,89,83.3,46.6,-8.6,-44.2,0
NZDJPY,CADJPY,7.7,48.3,41.8,86.7,-23.4,0
NZDJPY,USDCAD,-34.7,-49.8,-35.4,-74,-63.6,0
NZDJPY,USDJPY,-29.5,5,31.3,45.4,-49.8,0
NZDJPY,USDCHF,-85.3,-75,0.7,65.1,-47.7,0
EURCAD,EURUSD,86.2,56,98.5,72.4,50.8,0
EURCAD,GBPUSD,76.5,-35,89.3,79.2,52.5,0
EURCAD,NZDUSD,70.3,-46.2,37.2,-53.2,22.9,0
EURCAD,AUDUSD,46.2,-42.5,-56.8,-78.8,16.7,0
EURCAD,NZDCAD,90.4,-2.9,79.5,74,36.6,0
EURCAD,AUDCAD,82.5,-5.6,-6.4,19.5,25.7,0
EURCAD,NZDCHF,2.2,-50.6,-58.9,-83.4,-0.2,0
EURCAD,EURCHF,-1.4,67.1,94.8,7.3,48.6,0
EURCAD,AUDCHF,-72.6,-40.7,-88.4,-91.1,-13.2,0
EURCAD,NZDJPY,59.9,-56.2,-11.9,-75.2,0.6,0
EURCAD,EURCAD,100,100,100,100,100,0
EURCAD,EURGBP,23.3,55.3,54,-38.9,5.7,0
EURCAD,GBPCHF,-19.9,-36.7,86.7,58.2,41.9,0
EURCAD,AUDJPY,20.8,-50.9,-69.4,-91.7,-24.7,0
EURCAD,GBPCAD,94.1,0.6,95.4,94.9,83.4,0
EURCAD,CADCHF,-96.6,-48.4,-95.9,-95.4,-81.5,0
EURCAD,AUDNZD,-87.7,-10.1,-87.3,-83.8,-41.8,0
EURCAD,EURJPY,71.9,44.8,89.7,49.5,22.6,0
EURCAD,EURAUD,65.6,57.4,96.7,94.4,31.6,0
EURCAD,GBPAUD,45.8,10.1,93.6,91.5,25.8,0
EURCAD,GBPJPY,53.2,-45.4,85.2,61.9,17,0
EURCAD,EURNZD,-2.9,65.3,91.2,88.2,16.5,0
EURCAD,GBPNZD,-13.6,4.7,91.4,86,12.7,0
EURCAD,CHFJPY,64.8,-41.6,55.6,46.9,1.3,0
EURCAD,CADJPY,-66.1,-78.3,-80,-85.9,-47.3,0
EURCAD,USDCAD,42.4,70.5,85.3,88.1,-7.3,0
EURCAD,USDJPY,-57.2,-28.3,-47.5,-22.2,-26.6,0
EURCAD,USDCHF,-77.6,24.7,-83.7,-84.3,-46.7,0
EURGBP,EURUSD,16.6,36.4,51.4,-3.5,36.3,0
EURGBP,GBPUSD,-20.7,-91.6,14.2,-65.6,8.5,0
EURGBP,NZDUSD,20.6,-82.8,-26.2,35.8,31.5,0
EURGBP,AUDUSD,11.9,-85.3,-49.2,43.6,34,0
EURGBP,NZDCAD,27,-71,6.7,-38.1,22,0
EURGBP,AUDCAD,24.8,-70,-26.6,-15.7,26.4,0
EURGBP,NZDCHF,8.6,-69.8,-55.5,54.9,31.6,0
EURGBP,EURCHF,-8.4,92.2,72.1,65.6,54.8,0
EURGBP,AUDCHF,-13.2,-69.9,-41.2,53.7,35.1,0
EURGBP,NZDJPY,-1.1,-80.2,-17,34.7,25.8,0
EURGBP,EURCAD,23.3,55.3,54,-38.9,5.7,0
EURGBP,EURGBP,100,100,100,100,100,0
EURGBP,GBPCHF,-80.7,-93.6,12.4,-66.8,-54.8,0
EURGBP,AUDJPY,-15.1,-82.6,-25.2,42,26.4,0
EURGBP,GBPCAD,-10.6,-82.9,26.4,-65.8,-50.4,0
EURGBP,CADCHF,-24.2,38.3,-33.4,57.6,29.6,0
EURGBP,AUDNZD,-25.8,-47.1,-22.7,38,5,0
EURGBP,EURJPY,-10,53.3,68.7,-4.4,-9.8,0
EURGBP,EURAUD,7.4,86.7,58.1,-34,-23,0
EURGBP,GBPAUD,-46.9,-15.7,33.3,-62.9,-51.9,0
EURGBP,GBPJPY,-48.3,-93.7,29.6,-65,-49.7,0
EURGBP,EURNZD,-13.3,89,73.8,-27.7,-20.7,0
EURGBP,GBPNZD,-67.4,-47.1,40,-66.7,-49.4,0
EURGBP,CHFJPY,-5.7,-63,43.9,-46.6,-28.5,0
EURGBP,CADJPY,-42.6,-23.7,-15.7,42,-12.5,0
EURGBP,USDCAD,15.5,34.4,51.5,-51.1,-39.2,0
EURGBP,USDJPY,-51.4,16.6,14.6,-1.5,-29.9,0
EURGBP,USDCHF,-17.4,67.2,-14.2,55,-26.8,0
GBPCHF,EURUSD,-27.9,-22.1,87.2,63,35.6,0
GBPCHF,GBPUSD,1.4,90.8,95,89.7,54.7,0
GBPCHF,NZDUSD,-38.7,71.2,55.1,-12.7,33.6,0
GBPCHF,AUDUSD,-39.7,74.1,-36.8,-33.2,26.4,0
GBPCHF,NZDCAD,-32.9,64.8,85.4,40.8,44.7,0
GBPCHF,AUDCAD,-38.8,63.8,8.4,7.7,31.4,0
GBPCHF,NZDCHF,5.9,59.9,-31.8,-46.5,31.6,0
GBPCHF,EURCHF,65.1,-72.8,77.7,12.4,39.9,0
GBPCHF,AUDCHF,16,60.9,-74,-51.6,18.1,0
GBPCHF,NZDJPY,-18.9,63.3,7.9,-31.1,32.7,0
GBPCHF,EURCAD,-19.9,-36.7,86.7,58.2,41.9,0
GBPCHF,EURGBP,-80.7,-93.6,12.4,-66.8,-54.8,0
GBPCHF,GBPCHF,100,100,100,100,100,0
GBPCHF,AUDJPY,-13.3,66.9,-57.2,-44.7,-0.6,0
GBPCHF,GBPCAD,6.6,87.7,94.9,70.3,66.5,0
GBPCHF,CADCHF,35.4,-39.3,-87,-53,-20.9,0
GBPCHF,AUDNZD,15.7,42.3,-84.5,-49,-49.9,0
GBPCHF,EURJPY,0.1,-47.5,74.7,43.7,-9.7,0
GBPCHF,EURAUD,17.3,-71.7,80.2,56.2,-6.7,0
GBPCHF,GBPAUD,58.8,33.3,88.7,69.7,11.3,0
GBPCHF,GBPJPY,31,88.7,90.7,74.4,13.9,0
GBPCHF,EURNZD,35.4,-72.5,68,52.9,-23.5,0
GBPCHF,GBPNZD,69.9,64.7,84.8,71.2,-4,0
GBPCHF,CHFJPY,-22.7,45.2,48.6,37.9,-23,0
GBPCHF,CADJPY,26.4,7.1,-73.5,-41.2,-37,0
GBPCHF,USDCAD,12.2,-24.3,68.5,36.9,-19.5,0
GBPCHF,USDJPY,58.3,-31.9,-50.3,-18.8,-29.1,0
GBPCHF,USDCHF,43.4,-58.2,-82,-68.4,-30.5,0
AUDJPY,EURUSD,60,-33.6,-65.7,-55.5,26,0
AUDJPY,GBPUSD,65.7,74.1,-64.4,-68.3,20.1,0
AUDJPY,NZDUSD,73,90.4,-14.4,56.6,39.2,0
AUDJPY,AUDUSD,87.3,96.3,78.5,79.5,49,0
AUDJPY,NZDCAD,43.8,82.1,-49.5,-70.9,32.6,0
AUDJPY,AUDCAD,57.9,82.9,56.8,-18.5,52.2,0
AUDJPY,NZDCHF,34.2,86.5,66.5,81.7,48,0
AUDJPY,EURCHF,-44.1,-87.3,-56,10.6,27.1,0
AUDJPY,AUDCHF,22.6,87.3,91.9,88.7,64.7,0
AUDJPY,NZDJPY,88.3,95.6,71.3,89.9,80.1,0
AUDJPY,EURCAD,20.8,-50.9,-69.4,-91.7,-24.7,0
AUDJPY,EURGBP,-15.1,-82.6,-25.2,42,26.4,0
AUDJPY,GBPCHF,-13.3,66.9,-57.2,-44.7,-0.6,0
AUDJPY,AUDJPY,100,100,100,100,100,0
AUDJPY,GBPCAD,27,65,-70.5,-89.2,-35.5,0
AUDJPY,CADCHF,-31.2,-38.1,75.2,92.7,46,0
AUDJPY,AUDNZD,-9.6,62.2,87.2,80.5,45.5,0
AUDJPY,EURJPY,71.4,-34.7,-37.3,-21.9,-9.6,0
AUDJPY,EURAUD,-40.4,-95,-80.5,-86.3,-65.5,0
